変数名,型,I/O,内容
fid,integer,I,ファイルID
label,character(*),I,ソルバー定義ファイルで定義した変数名
strvalue,character(*),O,CGNSファイルから読み込まれた文字列
ier,integer,O,エラーコード。0なら成功
