Variable name,Type,I/O,Description
fid,integer,I,File ID
numpoints,integer,I,The number of points in the polyline
x,"double precision, dimension(:), allocatable",I,x coordinate.
y,"double precision, dimension(:), allocatable",I,y coordinate.
ier,integer,O,Error code. 0 means success.
