Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
label,character(*),I,Attribute name
dimname,character(*),I,Dimension name
values,"integer, dimension(:), allocatable",O,The values of dimension
ier,integer,O,Error code. 0 means success.
