Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
label,character(*),I,Attribute name
dimname,character(*),I,Dimension name
count,integer,O,The number of values of dimension “Time”
ier,integer,O,Error code. 0 means success.
