Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
type,character(*),I,Attribute name
num,integer,I,Group number
name,character(*),I,Condition name
paramname,character(*),I,Value name
data,"double precision, dimension(:), allocatable",O,Value array
ier,integer,O,Error code. 0 means success.
