Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
type,character(*),I,Name of boundary condition
num,integer,I,Boundary condition number
name,character(*),I,Name of the variable defined in the solver definition file
x,"real , dimension(:), allocatable",O,Array of x values
y,"real, dimension(:), allocatable",O,Array of y values
ier,integer,O,Error code. 0 means success.
