Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
x,"double precision",I,x coordinate.
y,"double precision",I,y coordinate.
z,"double precision",I,z coordinate.
ier,integer,O,Error code. 0 means success.
