変数名,型,I/O,内容
fid,integer,I,ファイルID
gid,integer,I,格子ID
label,character(*),I,出力する値の名前
val,"double precision, dimension(:,:), allocatable",I,"出力する値"
ier,integer,O,エラーコード。0なら成功
