Variable name,Type,I/O,Description
g_handle,integer,I,Grid handle
x,double precision,I,x coordinate
y,double precision,I,y coordinate
ok,integer,O,1 if a cell is found, 0 if not
count,integer,O,The number of nodes of the cell (3 or 4)
nodeids_arr,"integer, dimension(:), allocatable",O,Array of ID of the vertices of the cell
weights_arr,"double precision, dimension(:), allocatable",O,Array of weights values to interpolate the value at the coordinates from the those defined at cell vertices
ier,integer,O,Error code. 0 means success.
