Variable name,Type,I/O,Description
fid,integer,I,File ID
name,character(*),I,Geographic data group name
geoid,integer,I,Geographic data number
geofilename,character(*),O,Filename
geotype,integer,O,Geographic data type
ier,integer,O,Error code. 0 means success.
