Variable name,Type,I/O,Description
numpoints,integer,I,The number of points in the polygon
x,"double precision, dimension(:), allocatable",I,x coordinate.
y,"double precision, dimension(:), allocatable",I,y coordinate.
ier,integer,O,Error code. 0 means success.
