変数名,型,I/O,内容
fid,integer,I,ファイルID
gid,integer,I,格子ID
label,character(*),I,属性名
dimname,character(*),I,次元名
values,"double precision, dimension(:), allocatable",O,時刻の値
ier,integer,O,エラーコード。0なら成功
