Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
step,integer,I,Result Step Number
label,character(*),I,Name
val,"double precision, dimension(:,:), allocatable",O,"Value (In case of 3D grid, double precision, dimension(:,:,:), allocatable)"
ier,integer,O,Error code. 0 means success.
