Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
type,character(*),I,Name of boundary condition
num,integer,I,Boundary condition number
label,character(*),I,Name of the boundary condition variable defined in the solver definition file
intvalue,integer,O,Integer read from the CGSN file
ier,integer,O,Error code. 0 means success.
