変数名,型,I/O,内容
fid,integer,I,ファイルID
x,"double precision, dimension(:), allocatable",O,格子点のx座標値
y,"double precision, dimension(:), allocatable",O,格子点のy座標値
ier,integer,O,エラーコード。0なら成功
