Variable name,Type,I/O,Description
fid,integer,I,File ID
gid,integer,I,Grid ID
label,character(*),I,Attribute name
values,"double precision, dimension(:), allocatable",O,Attribute value
ier,integer,O,Error code. 0 means success.
