更新する要素,更新する条件,例
メジャー番号,入力する格子属性の追加・変更を行った,2.1 --> 3.0
マイナー番号,計算条件の項目の追加・変更を行った場合,2.1 --> 2.2
修正番号,入力する格子・計算条件には全く変更がなく、内部のアルゴリズムの変更やバグの修正のみを行った場合,2.1 --> 2.1.1
